id,Y
1,0.02587503381073475
2,0.005761756561696529
3,0.11133743822574615
4,0.0188588984310627
5,0.03489595651626587
6,0.02167111448943615
7,0.013522732071578503
8,0.08457943797111511
9,0.013251254335045815
10,0.16827981173992157
11,0.023084202781319618
12,0.009770031087100506
13,0.013402285054326057
14,0.3766988515853882
15,0.007935162633657455
16,0.028524719178676605
17,0.06552178412675858
18,0.009450246579945087
19,0.20416612923145294
20,0.01743459142744541
21,0.009735851548612118
22,0.009074513800442219
23,0.025006238371133804
24,0.1897750198841095
25,0.11015946418046951
26,0.014348253607749939
27,0.010128642432391644
28,0.019327674061059952
29,0.007151427678763866
30,0.050400469452142715
31,0.09723390638828278
32,0.0057898289524018764
33,0.061830706894397736
34,0.03293818235397339
35,0.007227092981338501
36,0.04146014153957367
37,0.00977898109704256
38,0.17757229506969452
39,0.027804967015981674
40,0.12232236564159393
41,0.012215507216751575
42,0.012392524629831314
43,0.019132548943161964
44,0.05352642387151718
45,0.01615147851407528
46,0.01071703340858221
47,0.04348255321383476
48,0.1012134775519371
49,0.009392590261995792
50,0.09022839367389679
51,0.0071597034111619
52,0.021587785333395004
53,0.3237525522708893
54,0.020390653982758522
55,0.48496443033218384
56,0.01211862824857235
57,0.36700281500816345
58,0.13466794788837433
59,0.0239484291523695
60,0.07456301152706146
61,0.07715515792369843
62,0.0056553855538368225
63,0.18096669018268585
64,0.05560564994812012
65,0.009601899422705173
66,0.024478798732161522
67,0.5694229602813721
68,0.04011528566479683
69,0.12334901094436646
70,0.7023118734359741
71,0.08603978157043457
72,0.010659201070666313
73,0.07499434053897858
74,0.018740247935056686
75,0.006231264676898718
76,0.006028871517628431
77,0.05641236528754234
78,0.010588526725769043
79,0.01880953088402748
80,0.06422559171915054
81,0.03221122920513153
82,0.006796392146497965
83,0.008582158014178276
84,0.013016979210078716
85,0.08760177344083786
86,0.006436104886233807
87,0.5072808861732483
88,0.1782970428466797
89,0.008849052712321281
90,0.015035311691462994
91,0.0662650540471077
92,0.007618613541126251
93,0.011057008057832718
94,0.014414140023291111
95,0.044316913932561874
96,0.0580935925245285
97,0.011656833812594414
98,0.00789006520062685
99,0.009850824251770973
100,0.016953429207205772
101,0.020532725378870964
102,0.016510335728526115
103,0.024109698832035065
104,0.034105200320482254
105,0.013418788090348244
106,0.015530074946582317
107,0.009898190386593342
108,0.006840170826762915
109,0.011599515564739704
110,0.018024174496531487
111,0.036116115748882294
112,0.009969479404389858
113,0.07177534699440002
114,0.0775032714009285
115,0.011111356317996979
116,0.008259875699877739
117,0.010035352781414986
118,0.007834510877728462
119,0.03271303325891495
120,0.0071839215233922005
121,0.010027463547885418
